comune,provincia,regione,stato,lat,long
Sauze d'Oulx, Torino, Piemonte, Italia,45.0270271,6.8583464
Scalenghe, Torino, Piemonte, Italia,44.891741,7.492521
Sestriere, Torino, Piemonte, Italia,44.9584528,6.8786855
Susa, Torino, Piemonte, Italia,45.1372115,7.0539789
Torre Pellice, Torino, Piemonte, Italia,44.8207682,7.2237145
Trana, Torino, Piemonte, Italia,45.039044,7.421817
Usseaux, Torino, Piemonte, Italia,45.048941,7.028508
Vaie, Torino, Piemonte, Italia,45.102344,7.289413
Val della Torre, Torino, Piemonte, Italia,45.155147,7.445015
Valgioie, Torino, Piemonte, Italia,45.076144,7.340715
Venaus, Torino, Piemonte, Italia,45.1549096,7.0125697
Venaria Reale, Torino, Piemonte, Italia,45.1348114,7.6268658
Vigone, Torino, Piemonte, Italia,44.8430668,7.494438
Villafranca Piemonte, Torino, Piemonte, Italia,44.778939,7.500424
Villarbasse, Torino, Piemonte, Italia,45.045145,7.468418
Villar Dora, Torino, Piemonte, Italia,45.114646,7.383515
Villar Focchiardo, Torino, Piemonte, Italia,45.1113887,7.2247248
Villar Pellice, Torino, Piemonte, Italia,44.8079035,7.1575796
Villar Perosa, Torino, Piemonte, Italia,44.9190563,7.2502858
Virle Piemonte, Torino, Piemonte, Italia,44.864541,7.570123
Volvera, Torino, Piemonte, Italia,44.9564642,7.5110517
Agliè, Torino, Piemonte, Italia,45.367055,7.766918
Ala di Stura, Torino, Piemonte, Italia,45.31515,7.305909
Albiano d'Ivrea, Torino, Piemonte, Italia,45.432959,7.950621
Alpette, Torino, Piemonte, Italia,45.408916,7.578978
Andrate, Torino, Piemonte, Italia,45.52736,7.880318
Azeglio, Torino, Piemonte, Italia,45.423459,7.993922
Bairo, Torino, Piemonte, Italia,45.3865872,7.7554467
Balangero, Torino, Piemonte, Italia,45.2753229,7.5202821
Baldissero Canavese, Torino, Piemonte, Italia,45.410256,7.744217
Balme, Torino, Piemonte, Italia,45.3025045,7.2154316
Banchette, Torino, Piemonte, Italia,45.453558,7.856318
Barbania, Torino, Piemonte, Italia,45.291252,7.630317
Barone Canavese, Torino, Piemonte, Italia,45.3255274,7.8730627
Bollengo, Torino, Piemonte, Italia,45.470859,7.94202
Borgaro Torinese, Torino, Piemonte, Italia,45.1521446,7.6579731
Borgiallo, Torino, Piemonte, Italia,45.417055,7.668515
Borgofranco d'Ivrea, Torino, Piemonte, Italia,45.51286,7.858017
Borgomasino, Torino, Piemonte, Italia,45.363257,7.987523
Bosconero, Torino, Piemonte, Italia,45.2675495,7.7666
Brandizzo, Torino, Piemonte, Italia,45.1766065,7.8380043
Brosso, Torino, Piemonte, Italia,45.4925019,7.8032885
Brozolo, Torino, Piemonte, Italia,45.1174365,8.0736027
Brusasco, Torino, Piemonte, Italia,45.1554921,8.0601029
Burolo, Torino, Piemonte, Italia,45.48116,7.93392
Busano, Torino, Piemonte, Italia,45.3294385,7.6557322
Cafasse, Torino, Piemonte, Italia,45.2459605,7.5172354
Caluso, Torino, Piemonte, Italia,45.304955,7.895722
Candia Canavese, Torino, Piemonte, Italia,45.327755,7.885121
Canischio, Torino, Piemonte, Italia,45.373987,7.5961265
Cantoira, Torino, Piemonte, Italia,45.3433486,7.3801242
Caravino, Torino, Piemonte, Italia,45.398258,7.960322
Carema, Torino, Piemonte, Italia,45.5833024,7.8104064
Casalborgone, Torino, Piemonte, Italia,45.130451,7.940426
Cascinette d'Ivrea, Torino, Piemonte, Italia,45.480159,7.905619
Caselle Torinese, Torino, Piemonte, Italia,45.1774901,7.6463671
Castagneto Po, Torino, Piemonte, Italia,45.159251,7.889425
Castellamonte, Torino, Piemonte, Italia,45.381955,7.712117
Castelnuovo Nigra, Torino, Piemonte, Italia,45.438156,7.694615
Castiglione Torinese, Torino, Piemonte, Italia,45.11905,7.807124
Cavagnolo, Torino, Piemonte, Italia,45.1521373,8.0514793
Ceres, Torino, Piemonte, Italia,45.3133772,7.3896883
Ceresole Reale, Torino, Piemonte, Italia,45.431952,7.235706
Chialamberto, Torino, Piemonte, Italia,45.3636694,7.3414713
Chiaverano, Torino, Piemonte, Italia,45.49886,7.902619
Chiesanuova, Torino, Piemonte, Italia,45.4178859,7.6557948
Chivasso, Torino, Piemonte, Italia,45.1909588,7.8871864
Ciconio, Torino, Piemonte, Italia,45.329915,7.7594925
Cintano, Torino, Piemonte, Italia,45.428556,7.688115
Cinzano, Torino, Piemonte, Italia,45.09425,7.925627
Ciriè, Torino, Piemonte, Italia,45.2352767,7.6003081
Coassolo Torinese, Torino, Piemonte, Italia,45.2975828,7.4604581
Colleretto Castelnuovo, Torino, Piemonte, Italia,45.4227551,7.6800403
Colleretto Giacosa, Torino, Piemonte, Italia,45.4318872,7.7995915
Corio, Torino, Piemonte, Italia,45.3134988,7.5320874
Cossano Canavese, Torino, Piemonte, Italia,45.387758,7.991523
Cuceglio, Torino, Piemonte, Italia,45.3594346,7.8151868
Cuorgnè, Torino, Piemonte, Italia,45.3897204,7.6498168
Favria, Torino, Piemonte, Italia,45.331154,7.690617
Feletto, Torino, Piemonte, Italia,45.303853,7.744719
Fiano, Torino, Piemonte, Italia,45.2168706,7.5226852
Fiorano Canavese, Torino, Piemonte, Italia,45.467758,7.833718
Foglizzo, Torino, Piemonte, Italia,45.2712723,7.8222647
Forno Canavese, Torino, Piemonte, Italia,45.345353,7.591015
Frassinetto, Torino, Piemonte, Italia,45.4371418,7.6067428
Front, Torino, Piemonte, Italia,45.280852,7.663618
Gassino Torinese, Torino, Piemonte, Italia,45.13165,7.827624
Germagnano, Torino, Piemonte, Italia,45.2638716,7.4694832
Groscavallo, Torino, Piemonte, Italia,45.369225349999994,7.2339668326681545
Grosso, Torino, Piemonte, Italia,45.257502,7.5579074
Ingria, Torino, Piemonte, Italia,45.4664675,7.570917
Issiglio, Torino, Piemonte, Italia,45.4469344,7.7521217
Ivrea, Torino, Piemonte, Italia,45.4673791,7.874797
Lanzo Torinese, Torino, Piemonte, Italia,45.2733505,7.4774108
Lauriano, Torino, Piemonte, Italia,45.158252,7.991627
Leini, Torino, Piemonte, Italia,45.1845815,7.7132706
Lemie, Torino, Piemonte, Italia,45.2281993,7.2920445
Lessolo, Torino, Piemonte, Italia,45.478258,7.814717
Levone, Torino, Piemonte, Italia,45.3182024,7.6061873
Locana, Torino, Piemonte, Italia,45.4176538,7.4588144
Lombardore, Torino, Piemonte, Italia,45.235452,7.74032
Loranzè, Torino, Piemonte, Italia,45.441657,7.812718
Lusigliè, Torino, Piemonte, Italia,45.3184013,7.7666516
Maglione, Torino, Piemonte, Italia,45.346657,8.013324
Mathi, Torino, Piemonte, Italia,45.2551716,7.5419842
Mazzè, Torino, Piemonte, Italia,45.300255,7.932723
Mercenasco, Torino, Piemonte, Italia,45.3571822,7.8823593
Mezzenile, Torino, Piemonte, Italia,45.2951292,7.3944587
Monastero di Lanzo, Torino, Piemonte, Italia,45.3018726,7.4396812
Montalenghe, Torino, Piemonte, Italia,45.337455,7.83882
Montalto Dora, Torino, Piemonte, Italia,45.490759,7.862818
Montanaro, Torino, Piemonte, Italia,45.233553,7.853323
Monteu da Po, Torino, Piemonte, Italia,45.1508996,8.016847
Noasca, Torino, Piemonte, Italia,45.4539721,7.3145537
Nole, Torino, Piemonte, Italia,45.243991,7.5727518
Nomaglio, Torino, Piemonte, Italia,45.53616,7.860317
Oglianico, Torino, Piemonte, Italia,45.342554,7.693717
Orio Canavese, Torino, Piemonte, Italia,45.329255,7.861721
Ozegna, Torino, Piemonte, Italia,45.34929,7.742524
Palazzo Canavese, Torino, Piemonte, Italia,45.459259,7.978921
Parella, Torino, Piemonte, Italia,45.430657,7.793217
Pavone Canavese, Torino, Piemonte, Italia,45.4375586,7.8517154
Perosa Canavese, Torino, Piemonte, Italia,45.397057,7.830819
Pertusio, Torino, Piemonte, Italia,45.3567879,7.6385012
Pessinetto, Torino, Piemonte, Italia,45.289093,7.4041615
Piverone, Torino, Piemonte, Italia,45.446259,8.005722
Pont-Canavese, Torino, Piemonte, Italia,45.4205265,7.5968553
Prascorsano, Torino, Piemonte, Italia,45.367754,7.616915
Pratiglione, Torino, Piemonte, Italia,45.352753,7.596015
Quagliuzzo, Torino, Piemonte, Italia,45.426757,7.781617
Quassolo, Torino, Piemonte, Italia,45.52286,7.832317
Quincinetto, Torino, Piemonte, Italia,45.56296,7.807315
Ribordone, Torino, Piemonte, Italia,45.4320395,7.50195
Rivalba, Torino, Piemonte, Italia,45.11835,7.888125
Rivara, Torino, Piemonte, Italia,45.332553,7.632916
Rivarolo Canavese, Torino, Piemonte, Italia,45.3312162,7.7171342
Rivarossa, Torino, Piemonte, Italia,45.2504966,7.7177272
Robassomero, Torino, Piemonte, Italia,45.200049,7.568917
Rocca Canavese, Torino, Piemonte, Italia,45.3088539,7.5758632
Romano Canavese, Torino, Piemonte, Italia,45.388657,7.86652
Ronco Canavese, Torino, Piemonte, Italia,45.4997374,7.5468552
Rondissone, Torino, Piemonte, Italia,45.246854,7.963125
Rueglio, Torino, Piemonte, Italia,45.468258,7.754616
Salassa, Torino, Piemonte, Italia,45.3585264,7.6892385
Salerano Canavese, Torino, Piemonte, Italia,45.458058,7.851118
Samone, Torino, Piemonte, Italia,45.4505543,7.845243
San Benigno Canavese, Torino, Piemonte, Italia,45.227052,7.785021
San Carlo Canavese, Torino, Piemonte, Italia,45.2478256,7.6108432
San Colombano Belmonte, Torino, Piemonte, Italia,45.382254,7.621015
San Francesco al Campo, Torino, Piemonte, Italia,45.2264672,7.6571645
San Giorgio Canavese, Torino, Piemonte, Italia,45.334155,7.796819
San Giusto Canavese, Torino, Piemonte, Italia,45.315154,7.80912
San Martino Canavese, Torino, Piemonte, Italia,45.3943495,7.8165588
San Maurizio Canavese, Torino, Piemonte, Italia,45.2166755,7.6312409
San Mauro Torinese, Torino, Piemonte, Italia,45.1044124,7.7619962
San Ponso, Torino, Piemonte, Italia,45.350754,7.670316
San Raffaele Cimena, Torino, Piemonte, Italia,45.146651,7.849324
San Sebastiano da Po, Torino, Piemonte, Italia,45.167552,7.957226
Scarmagno, Torino, Piemonte, Italia,45.384456,7.841119
Sciolze, Torino, Piemonte, Italia,45.09325,7.880426
Settimo Rottaro, Torino, Piemonte, Italia,45.407758,7.993522
Settimo Torinese, Torino, Piemonte, Italia,45.1373354,7.7710152
Settimo Vittone, Torino, Piemonte, Italia,45.54976,7.832216
Sparone, Torino, Piemonte, Italia,45.413854,7.543412
Strambinello, Torino, Piemonte, Italia,45.4226958,7.7684364
Strambino, Torino, Piemonte, Italia,45.381457,7.88572
Tavagnasco, Torino, Piemonte, Italia,45.5439654,7.8220415
Torrazza Piemonte, Torino, Piemonte, Italia,45.2154216,7.9745034
Torre Canavese, Torino, Piemonte, Italia,45.392056,7.759818
Traversella, Torino, Piemonte, Italia,45.508458,7.749415
Traves, Torino, Piemonte, Italia,45.2706125,7.4288577
Usseglio, Torino, Piemonte, Italia,45.2331973,7.2177346
Vallo Torinese, Torino, Piemonte, Italia,45.2247447,7.4955659
Valperga, Torino, Piemonte, Italia,45.370616,7.6569163
Valprato Soana, Torino, Piemonte, Italia,45.5214814,7.5493546
Varisella, Torino, Piemonte, Italia,45.2099414,7.4886064
Vauda Canavese, Torino, Piemonte, Italia,45.279952,7.620217
Verolengo, Torino, Piemonte, Italia,45.190053,7.968226
Verrua Savoia, Torino, Piemonte, Italia,45.156707,8.092761
Vestignè, Torino, Piemonte, Italia,45.385757,7.954822
Vialfrè, Torino, Piemonte, Italia,45.3810192,7.8178285
Vidracco, Torino, Piemonte, Italia,45.430657,7.757417
Villanova Canavese, Torino, Piemonte, Italia,45.2425748,7.554506
Villareggia, Torino, Piemonte, Italia,45.310056,7.976624
Vische, Torino, Piemonte, Italia,45.3355889,7.9448175
Vistrorio, Torino, Piemonte, Italia,45.4423436,7.7681449
Viù, Torino, Piemonte, Italia,45.2391603,7.3758398
Volpiano, Torino, Piemonte, Italia,45.201451,7.778222
Mappano, Torino, Piemonte, Italia,45.1478012,7.7060986
Val di Chy, Torino, Piemonte, Italia,45.4611249,7.7928302
Valchiusa, Torino, Piemonte, Italia,45.4972632,7.7413272
Crescentino, Vercelli, Piemonte, Italia,45.190454,8.099929
Fontanetto Po, Vercelli, Piemonte, Italia,45.1934637,8.1919246
Lamporo, Vercelli, Piemonte, Italia,45.231855,8.101628
Saluggia, Vercelli, Piemonte, Italia,45.237554,8.011026
Andezeno, Torino, Piemonte, Italia,45.037748,7.870527
Arignano, Torino, Piemonte, Italia,45.0402748,7.9015941
Baldissero Torinese, Torino, Piemonte, Italia,45.0686356,7.8165308
Cambiano, Torino, Piemonte, Italia,44.9714155,7.7786983
Candiolo, Torino, Piemonte, Italia,44.959244,7.601722
Carignano, Torino, Piemonte, Italia,44.906943,7.673225
Carmagnola, Torino, Piemonte, Italia,44.8469469,7.7178741
Castagnole Piemonte, Torino, Piemonte, Italia,44.898142,7.566123
Chieri, Torino, Piemonte, Italia,45.0138842,7.8223544
Isolabella, Torino, Piemonte, Italia,44.9067269,7.9101512
La Loggia, Torino, Piemonte, Italia,44.957744,7.667324
Lombriasco, Torino, Piemonte, Italia,44.840941,7.635925
Marentino, Torino, Piemonte, Italia,45.058032,7.8746227
Mombello di Torino, Torino, Piemonte, Italia,45.045749,7.920827
Moncalieri, Torino, Piemonte, Italia,45.0004614,7.6847543
Montaldo Torinese, Torino, Piemonte, Italia,45.0654869,7.8496013
Moriondo Torinese, Torino, Piemonte, Italia,45.037649,7.940028
Nichelino, Torino, Piemonte, Italia,44.9955182,7.6466179
None, Torino, Piemonte, Italia,44.933143,7.540121
Osasio, Torino, Piemonte, Italia,44.871442,7.608024
Pancalieri, Torino, Piemonte, Italia,44.833441,7.585924
Pavarolo, Torino, Piemonte, Italia,45.0724657,7.8346706
Pecetto Torinese, Torino, Piemonte, Italia,45.0168826,7.7499491
Pino Torinese, Torino, Piemonte, Italia,45.039547,7.777125
Piobesi Torinese, Torino, Piemonte, Italia,44.932943,7.610123
Poirino, Torino, Piemonte, Italia,44.920845,7.846928
Pralormo, Torino, Piemonte, Italia,44.859744,7.901431
Riva Presso Chieri, Torino, Piemonte, Italia,44.9849739,7.8723187
Santena, Torino, Piemonte, Italia,44.9491112,7.7718109
Trofarello, Torino, Piemonte, Italia,44.983646,7.745225
Villastellone, Torino, Piemonte, Italia,44.9186115,7.7443466
Vinovo, Torino, Piemonte, Italia,44.94839,7.6339287
Albugnano, Asti, Piemonte, Italia,45.0779664,7.9711535
Berzano di San Pietro, Asti, Piemonte, Italia,45.0948126,7.9530116
Buttigliera d'Asti, Asti, Piemonte, Italia,45.0226378,7.9507994
Castelnuovo Don Bosco, Asti, Piemonte, Italia,45.040849,7.963128
Cerreto d'Asti, Asti, Piemonte, Italia,45.05215,8.0350707
Moncucco Torinese, Asti, Piemonte, Italia,45.0681071,7.9325329
Passerano Marmorito, Asti, Piemonte, Italia,45.05585,8.018729
Pino d'Asti, Asti, Piemonte, Italia,45.05745,7.986229
Alagna Valsesia, Vercelli, Piemonte, Italia,45.8512107,7.9371767
Albano Vercellese, Vercelli, Piemonte, Italia,45.4253071,8.3809935
Alice Castello, Vercelli, Piemonte, Italia,45.365158,8.072925
Arborio, Vercelli, Piemonte, Italia,45.494964,8.385329
Asigliano Vercellese, Vercelli, Piemonte, Italia,45.2615784,8.4085008
Balmuccia, Vercelli, Piemonte, Italia,45.8188492,8.1381022
Balocco, Vercelli, Piemonte, Italia,45.455262,8.280128
Bianzè, Vercelli, Piemonte, Italia,45.308457,8.122527
Boccioleto, Vercelli, Piemonte, Italia,45.8301887,8.1128812
Borgo d'Ale, Vercelli, Piemonte, Italia,45.349435,8.053102
Borgosesia, Vercelli, Piemonte, Italia,45.7166676,8.2768572
Borgo Vercelli, Vercelli, Piemonte, Italia,45.357862,8.463033
Buronzo, Vercelli, Piemonte, Italia,45.4808622,8.2671277
Campertogno, Vercelli, Piemonte, Italia,45.798953,8.0321533
Carcoforo, Vercelli, Piemonte, Italia,45.9087495,8.049537
Caresana, Vercelli, Piemonte, Italia,45.2212633,8.5069241
Caresanablot, Vercelli, Piemonte, Italia,45.3576129,8.3888418
Carisio, Vercelli, Piemonte, Italia,45.40936,8.199027
Casanova Elvo, Vercelli, Piemonte, Italia,45.400961,8.293529
San Giacomo Vercellese, Vercelli, Piemonte, Italia,45.4978594,8.3261393
Cervatto, Vercelli, Piemonte, Italia,45.882966,8.1623473
Cigliano, Vercelli, Piemonte, Italia,45.308356,8.021025
Civiasco, Vercelli, Piemonte, Italia,45.8081897,8.2941165
Collobiano, Vercelli, Piemonte, Italia,45.3966831,8.3482841
Costanzana, Vercelli, Piemonte, Italia,45.238158,8.368134
Cravagliana, Vercelli, Piemonte, Italia,45.8483853,8.2026904
Crova, Vercelli, Piemonte, Italia,45.330659,8.210828
Desana, Vercelli, Piemonte, Italia,45.2688216,8.3567281
Fobello, Vercelli, Piemonte, Italia,45.8894252,8.1586796
Formigliana, Vercelli, Piemonte, Italia,45.429262,8.291928
Gattinara, Vercelli, Piemonte, Italia,45.6142424,8.3711382
Ghislarengo, Vercelli, Piemonte, Italia,45.5288226,8.3861285
Greggio, Vercelli, Piemonte, Italia,45.450663,8.38303
Guardabosone, Vercelli, Piemonte, Italia,45.701868,8.249322
Lenta, Vercelli, Piemonte, Italia,45.557466,8.384128
Lignana, Vercelli, Piemonte, Italia,45.2855305,8.3461237
Livorno Ferraris, Vercelli, Piemonte, Italia,45.2819121,8.0805481
Lozzolo, Vercelli, Piemonte, Italia,45.6256427,8.3217739
Mollia, Vercelli, Piemonte, Italia,45.816669,8.030315
Moncrivello, Vercelli, Piemonte, Italia,45.332357,7.995524
Motta de' Conti, Vercelli, Piemonte, Italia,45.1933428,8.5209342
Olcenengo, Vercelli, Piemonte, Italia,45.36346,8.30983
Oldenico, Vercelli, Piemonte, Italia,45.402755,8.3803269
Pertengo, Vercelli, Piemonte, Italia,45.2363944,8.417401
Pezzana, Vercelli, Piemonte, Italia,45.2619592,8.4822794
Pila, Vercelli, Piemonte, Italia,45.7699441,8.0810802
Piode, Vercelli, Piemonte, Italia,45.7707514,8.0510762
Postua, Vercelli, Piemonte, Italia,45.7136037,8.2305899
Prarolo, Vercelli, Piemonte, Italia,45.2822927,8.4781176
Quarona, Vercelli, Piemonte, Italia,45.757869,8.265721
Quinto Vercellese, Vercelli, Piemonte, Italia,45.379661,8.361731
Rassa, Vercelli, Piemonte, Italia,45.7684731,8.0130682
Rimella, Vercelli, Piemonte, Italia,45.9075673,8.1825035
Rive, Vercelli, Piemonte, Italia,45.2129062,8.4177041
Roasio, Vercelli, Piemonte, Italia,45.6080186,8.2880115
Ronsecco, Vercelli, Piemonte, Italia,45.253126,8.2778097
Rossa, Vercelli, Piemonte, Italia,45.8335006,8.1255287
Rovasenda, Vercelli, Piemonte, Italia,45.538765,8.317527
Salasco, Vercelli, Piemonte, Italia,45.325559,8.26423
Sali Vercellese, Vercelli, Piemonte, Italia,45.309859,8.328931
San Germano Vercellese, Vercelli, Piemonte, Italia,45.3500306,8.2487792
Santhià, Vercelli, Piemonte, Italia,45.366259,8.172627
Scopa, Vercelli, Piemonte, Italia,45.7926779,8.1133666
Scopello, Vercelli, Piemonte, Italia,45.7727562,8.0940582
Serravalle Sesia, Vercelli, Piemonte, Italia,45.685568,8.310924
Stroppiana, Vercelli, Piemonte, Italia,45.2302456,8.4537321
Tricerro, Vercelli, Piemonte, Italia,45.235757,8.325333
Tronzano Vercellese, Vercelli, Piemonte, Italia,45.341258,8.173027
Valduggia, Vercelli, Piemonte, Italia,45.728369,8.329923
Varallo, Vercelli, Piemonte, Italia,45.8137306,8.2592113
Vercelli, Piemonte, Italia,,45.55538265,8.346283678327271
Villarboit, Vercelli, Piemonte, Italia,45.437362,8.337329
Villata, Vercelli, Piemonte, Italia,45.387762,8.432632
Vocca, Vercelli, Piemonte, Italia,45.8325854,8.1946016
Alto Sermenza, Vercelli, Piemonte, Italia,45.8726585,8.0381574
Cellio con Breia, Vercelli, Piemonte, Italia,45.7606063,8.309276
Grignasco, Novara, Piemonte, Italia,45.6840987,8.3378533
Prato Sesia, Novara, Piemonte, Italia,45.6468486,8.3729394
Romagnano Sesia, Novara, Piemonte, Italia,45.631067,8.388627
Vinzaglio, Novara, Piemonte, Italia,45.322961,8.519135
Ailoche, Biella, Piemonte, Italia,45.6982914,8.2212127
Caprile, Biella, Piemonte, Italia,45.6897517,8.2162595
Coggiola, Biella, Piemonte, Italia,45.6881394,8.1762643
Crevacuore, Biella, Piemonte, Italia,45.686868,8.246722
Gifflenga, Biella, Piemonte, Italia,45.493063,8.232226
Portula, Biella, Piemonte, Italia,45.6752832,8.1793651
Pray, Biella, Piemonte, Italia,45.6761963,8.2087139
Sostegno, Biella, Piemonte, Italia,45.6528539,8.2697006
Andorno Micca, Biella, Piemonte, Italia,45.609264,8.05272
Benna, Biella, Piemonte, Italia,45.513662,8.126623
Biella, Piemonte, Italia,,45.5669538,8.086912008297636
Bioglio, Biella, Piemonte, Italia,45.6068077,8.1297094
Borriana, Biella, Piemonte, Italia,45.506161,8.038621
Brusnengo, Biella, Piemonte, Italia,45.593865,8.251924
Callabiana, Biella, Piemonte, Italia,45.631365,8.09722
Camandona, Biella, Piemonte, Italia,45.644165,8.09972
Camburzano, Biella, Piemonte, Italia,45.5436675,8.0031311
Candelo, Biella, Piemonte, Italia,45.5462084,8.1125991
Casapinta, Biella, Piemonte, Italia,45.6160964,8.195713
Castelletto Cervo, Biella, Piemonte, Italia,45.5162184,8.2266545
Cavaglià, Biella, Piemonte, Italia,45.4077339,8.0934286
Cerrione, Biella, Piemonte, Italia,45.468361,8.068123
Cossato, Biella, Piemonte, Italia,45.5699123,8.1799881
Curino, Biella, Piemonte, Italia,45.6275974,8.2372798
Donato, Biella, Piemonte, Italia,45.528192,7.908557
Dorzano, Biella, Piemonte, Italia,45.42606,8.098524
Gaglianico, Biella, Piemonte, Italia,45.537862,8.075022
Graglia, Biella, Piemonte, Italia,45.558562,7.978019
Magnano, Biella, Piemonte, Italia,45.4620582,8.0045016
