comune,provincia,regione,stato,lat,long
Airasca, Torino, Piemonte, Italia,44.917042,7.484321
Almese, Torino, Piemonte, Italia,45.1168763,7.39455
Alpignano, Torino, Piemonte, Italia,45.0957237,7.5254027
Angrogna, Torino, Piemonte, Italia,44.8435821,7.2238156
Avigliana, Torino, Piemonte, Italia,45.0779435,7.3983904
Bardonecchia, Torino, Piemonte, Italia,45.078339,6.703205
Beinasco, Torino, Piemonte, Italia,45.022097,7.5793974
Bibiana, Torino, Piemonte, Italia,44.798937,7.288219
Bobbio Pellice, Torino, Piemonte, Italia,44.8079522,7.1167645
Borgone Susa, Torino, Piemonte, Italia,45.122844,7.239712
Bricherasio, Torino, Piemonte, Italia,44.8234086,7.3052956
Bruino, Torino, Piemonte, Italia,45.0211522,7.4685506
Bruzolo, Torino, Piemonte, Italia,45.1422257,7.195648
Buriasco, Torino, Piemonte, Italia,44.87364,7.41032
Bussoleno, Torino, Piemonte, Italia,45.1392706,7.1477166
Buttigliera Alta, Torino, Piemonte, Italia,45.068804,7.434488
Campiglione-Fenile, Torino, Piemonte, Italia,44.8045985,7.322312759550277
Cantalupa, Torino, Piemonte, Italia,44.945941,7.330317
Caprie, Torino, Piemonte, Italia,45.118845,7.331914
Caselette, Torino, Piemonte, Italia,45.104746,7.480817
Cavour, Torino, Piemonte, Italia,44.7854988,7.3738413
Cercenasco, Torino, Piemonte, Italia,44.8612913,7.5012695
Cesana Torinese, Torino, Piemonte, Italia,44.952236,6.790805
Chianocco, Torino, Piemonte, Italia,45.1480942,7.1693304
Chiomonte, Torino, Piemonte, Italia,45.119542,6.985306
Chiusa di San Michele, Torino, Piemonte, Italia,45.1039129,7.326972
Claviere, Torino, Piemonte, Italia,44.9387991,6.7502942
Coazze, Torino, Piemonte, Italia,45.0521938,7.2979015
Collegno, Torino, Piemonte, Italia,45.0775473,7.5724262
Condove, Torino, Piemonte, Italia,45.1174186,7.3094552
Cumiana, Torino, Piemonte, Italia,44.979742,7.376717
Druento, Torino, Piemonte, Italia,45.134748,7.576618
Exilles, Torino, Piemonte, Italia,45.0973834,6.9290646
Fenestrelle, Torino, Piemonte, Italia,45.0360951,7.0495615
Frossasco, Torino, Piemonte, Italia,44.9329437,7.3502181
Garzigliana, Torino, Piemonte, Italia,44.837239,7.37442
Giaglione, Torino, Piemonte, Italia,45.1402386,7.0147562
Giaveno, Torino, Piemonte, Italia,45.0420053,7.3519942
Givoletto, Torino, Piemonte, Italia,45.162248,7.496416
Gravere, Torino, Piemonte, Italia,45.125342,7.017507
Grugliasco, Torino, Piemonte, Italia,45.068046,7.57762
Inverso Pinasca, Torino, Piemonte, Italia,44.94564,7.218414
La Cassa, Torino, Piemonte, Italia,45.180348,7.516316
Luserna San Giovanni, Torino, Piemonte, Italia,44.815437,7.251318
Lusernetta, Torino, Piemonte, Italia,44.803137,7.246718
Macello, Torino, Piemonte, Italia,44.851139,7.39802
Massello, Torino, Piemonte, Italia,44.96755695,7.026199338825759
Mattie, Torino, Piemonte, Italia,45.118143,7.115109
Meana di Susa, Torino, Piemonte, Italia,45.122043,7.064708
Mompantero, Torino, Piemonte, Italia,45.1420427,7.0646093
Moncenisio, Torino, Piemonte, Italia,45.2052852,6.9824996
Novalesa, Torino, Piemonte, Italia,45.1896401,7.0154982
Orbassano, Torino, Piemonte, Italia,45.0072629,7.5369192
Osasco, Torino, Piemonte, Italia,44.8493681,7.3432431
Oulx, Torino, Piemonte, Italia,45.0330519,6.83251
Perosa Argentina, Torino, Piemonte, Italia,44.95744,7.190914
Perrero, Torino, Piemonte, Italia,44.91821175,7.129109086642957
Pianezza, Torino, Piemonte, Italia,45.105847,7.543418
Pinasca, Torino, Piemonte, Italia,44.94264,7.229115
Pinerolo, Torino, Piemonte, Italia,44.8873086,7.3319454
Piossasco, Torino, Piemonte, Italia,44.9905547,7.4637036
Piscina, Torino, Piemonte, Italia,44.9194418,7.4262115
Pomaretto, Torino, Piemonte, Italia,44.9559831,7.1827794
Porte, Torino, Piemonte, Italia,44.8872933,7.2679711
Pragelato, Torino, Piemonte, Italia,44.981485750000004,6.93916037246483
Prali, Torino, Piemonte, Italia,44.88107345,7.05243906201571
Pramollo, Torino, Piemonte, Italia,44.904484,7.2114001
Prarostino, Torino, Piemonte, Italia,44.8657923,7.2682233
Reano, Torino, Piemonte, Italia,45.0520564,7.4304032
Rivalta di Torino, Torino, Piemonte, Italia,45.034045,7.518419
Rivoli, Torino, Piemonte, Italia,45.0697151,7.5176764
Roletto, Torino, Piemonte, Italia,44.9246915,7.3313239
Rorà, Torino, Piemonte, Italia,44.792136,7.199017
Roure, Torino, Piemonte, Italia,45.0014133,7.1294323
Rosta, Torino, Piemonte, Italia,45.067945,7.465117
Rubiana, Torino, Piemonte, Italia,45.1379458,7.3848302
Salbertrand, Torino, Piemonte, Italia,45.07204,6.883205
Salza di Pinerolo, Torino, Piemonte, Italia,44.934634849999995,7.034466818653048
San Didero, Torino, Piemonte, Italia,45.135444,7.213011
Sangano, Torino, Piemonte, Italia,45.026144,7.448118
San Germano Chisone, Torino, Piemonte, Italia,44.89855,7.2411746
San Gillio, Torino, Piemonte, Italia,45.142748,7.535817
San Giorio di Susa, Torino, Piemonte, Italia,45.1279823,7.1779846
San Pietro Val Lemina, Torino, Piemonte, Italia,44.90654,7.310917
San Secondo di Pinerolo, Torino, Piemonte, Italia,44.8672222,7.298167
Sant'Ambrogio di Torino, Torino, Piemonte, Italia,45.099445,7.362315
Sant'Antonino di Susa, Torino, Piemonte, Italia,45.107044,7.273613
Sauze di Cesana, Torino, Piemonte, Italia,44.940736,6.859007
